Date,P_TOTAL_G1 -- Allocation Effect,P_TOTAL_G1 -- Selection Effect,G1_Australian Shares-- Allocation Effect,G1_Australian Shares-- Selection Effect,G1_International Shares-- Allocation Effect,G1_International Shares-- Selection Effect,G1_Real Assets-- Allocation Effect,G1_Real Assets-- Selection Effect,G1_Alternatives-- Allocation Effect,G1_Alternatives-- Selection Effect,G1_Long Duration-- Allocation Effect,G1_Long Duration-- Selection Effect,G1_Floating Rate-- Allocation Effect,G1_Floating Rate-- Selection Effect,G1_Cash-- Allocation Effect,G1_Cash-- Selection Effect
2017-06-30,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,1.9237680000000003e-10,0.0062871298113861,-0.0,0.0062871298113861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9237680000000003e-10,0.0
2017-07-04,-5.181570000000002e-10,-0.017325899480223002,-0.0,-0.017325899480223002,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-5.181570000000002e-10,0.0
2017-07-05,1.0782180000000001e-10,0.0035440598936781996,-0.0,0.0035440598936781996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0782180000000001e-10,0.0
2017-07-06,2.5662900000000002e-11,0.0007594299772170999,-0.0,0.0007594299772170999,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5662900000000002e-11,0.0
2017-07-07,2.8872270000000005e-10,0.0095760897127173,-0.0,0.0095760897127173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8872270000000005e-10,0.0
2017-07-08,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,-1.0518810000000002e-10,-0.0036491998905239997,-0.0,-0.0036491998905239997,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.0518810000000002e-10,0.0
2017-07-11,-2.1969300000000003e-11,-0.0007773099766807,-0.0,-0.0007773099766807,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.1969300000000003e-11,0.0
2017-07-12,2.8939020000000003e-10,0.0095963397121098,-0.0,0.0095963397121098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8939020000000003e-10,0.0
2017-07-13,-3.305472e-10,-0.011069239667922798,-0.0,-0.011069239667922798,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-3.305472e-10,0.0
2017-07-14,-1.461867e-10,-0.0049208898523733,-0.0,-0.0049208898523733,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.461867e-10,0.0
2017-07-15,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-17,5.3430900000000006e-11,0.0016491299505261,-0.0,0.0016491299505261,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3430900000000006e-11,0.0
2017-07-18,3.558357e-10,0.011812289645631299,-0.0,0.011812289645631299,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.558357e-10,0.0
2017-07-19,-2.340744e-10,-0.0078663797640086,-0.0,-0.0078663797640086,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.340744e-10,0.0
2017-07-20,-1.5277020000000002e-10,-0.0051453398456398,-0.0,-0.0051453398456398,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.5277020000000002e-10,0.0
2017-07-21,2.0510610000000003e-10,0.0067479697975609,-0.0,0.0067479697975609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0510610000000003e-10,0.0
2017-07-22,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,1.8674550000000004e-10,0.0060800298175991,-0.0,0.0060800298175991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8674550000000004e-10,0.0
2017-07-25,-2.0179920000000002e-10,-0.0067755397967338,-0.0,-0.0067755397967338,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.0179920000000002e-10,0.0
2017-07-26,-2.6152830000000005e-10,-0.0087595097372147,-0.0,-0.0087595097372147,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.6152830000000005e-10,0.0
