Date,P_TOTAL_G1 -- Allocation Effect,P_TOTAL_G1 -- Selection Effect,G1_Australian Shares-- Allocation Effect,G1_Australian Shares-- Selection Effect,G1_International Shares-- Allocation Effect,G1_International Shares-- Selection Effect,G1_Real Assets-- Allocation Effect,G1_Real Assets-- Selection Effect,G1_Alternatives-- Allocation Effect,G1_Alternatives-- Selection Effect,G1_Long Duration-- Allocation Effect,G1_Long Duration-- Selection Effect,G1_Floating Rate-- Allocation Effect,G1_Floating Rate-- Selection Effect,G1_Cash-- Allocation Effect,G1_Cash-- Selection Effect
2017-06-30,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,0.00038667736800000003,0.005908016061000002,-0.0,0.005908016061000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038667736800000003,0.0
2017-07-04,-0.0010414955700000002,-0.016281148230000007,-0.0,-0.016281148230000007,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0010414955700000002,0.0
2017-07-05,0.000216721818,0.003330353182000001,-0.0,0.003330353182000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000216721818,0.0
2017-07-06,5.1582428999999995e-05,0.0007136363710000002,-0.0,0.0007136363710000002,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1582428999999995e-05,0.0
2017-07-07,0.000580332627,0.008998651773000004,-0.0,0.008998651773000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000580332627,0.0
2017-07-08,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,-0.000211428081,-0.003429153240000001,-0.0,-0.003429153240000001,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.000211428081,0.0
2017-07-11,-4.4158293e-05,-0.0007304382070000003,-0.0,-0.0007304382070000003,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-4.4158293e-05,-4.086086937554745e-22
2017-07-12,0.000581674302,0.009017680698000003,-0.0,0.009017680698000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000581674302,0.0
2017-07-13,-0.0006643998719999999,-0.010401764828000003,-0.0,-0.010401764828000003,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0006643998719999999,0.0
2017-07-14,-0.00029383526699999996,-0.004624160333000001,-0.0,-0.004624160333000001,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00029383526699999996,0.0
2017-07-15,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-17,0.00010739610899999998,0.0015496874610000004,-0.0,0.0015496874610000004,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010739610899999998,0.0
2017-07-18,0.000715229757,0.011100008913000003,-0.0,0.011100008913000003,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000715229757,0.0
2017-07-19,-0.00047048954399999993,-0.007392037286000002,-0.0,-0.007392037286000002,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00047048954399999993,0.0
2017-07-20,-0.000307068102,-0.0048350759980000015,-0.0,-0.0048350759980000015,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.000307068102,0.0
2017-07-21,0.000412263261,0.006341067409000002,-0.0,0.006341067409000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000412263261,0.0
2017-07-22,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,0.00037535845500000003,0.005713404191000002,-0.0,0.005713404191000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037535845500000003,0.0
2017-07-25,-0.000405616392,-0.006366974938000002,-0.0,-0.006366974938000002,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.000405616392,0.0
2017-07-26,-0.0005256718830000001,-0.008231311547000002,-0.0,-0.008231311547000002,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0005256718830000001,0.0
2017-07-27,-8.3021643e-05,-0.0013369205870000004,-0.0,-0.0013369205870000004,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-8.3021643e-05,0.0
