Date,P_TOTAL_G1 -- Allocation Effect,P_TOTAL_G1 -- Selection Effect,G1_Australian Shares-- Allocation Effect,G1_Australian Shares-- Selection Effect,G1_International Shares-- Allocation Effect,G1_International Shares-- Selection Effect,G1_Real Assets-- Allocation Effect,G1_Real Assets-- Selection Effect,G1_Alternatives-- Allocation Effect,G1_Alternatives-- Selection Effect,G1_Long Duration-- Allocation Effect,G1_Long Duration-- Selection Effect,G1_Floating Rate-- Allocation Effect,G1_Floating Rate-- Selection Effect,G1_Cash-- Allocation Effect,G1_Cash-- Selection Effect
2017-06-30,7.421099999999999e-07,4.0048519999999996e-05,-0.0,0.0,-0.0,4.0048519999999996e-05,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,7.421099999999999e-07,0.0
2017-07-01,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,-4.5669344999999996e-05,-0.005328019413999999,-0.0,0.0,-0.0,-0.005328019413999999,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-4.5669344999999996e-05,0.0
2017-07-04,-3.4576496999999995e-05,-0.003993263703,0.0,0.0,-0.0,-0.003993263703,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-3.4576496999999995e-05,0.0
2017-07-05,4.3499999999999996e-07,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,4.3499999999999996e-07,0.0
2017-07-06,1.0138718999999999e-05,0.001060066481,0.0,0.0,-0.0,0.001060066481,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0138718999999999e-05,0.0
2017-07-07,7.150965e-06,0.0007672166349999999,-0.0,0.0,-0.0,0.0007672166349999999,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,7.150965e-06,0.0
2017-07-08,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,-2.7299990999999998e-05,-0.0032523165179999996,0.0,0.0,-0.0,-0.0032523165179999996,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.7299990999999998e-05,0.0
