Date,P_TOTAL_G1 -- Allocation Effect,P_TOTAL_G1 -- Selection Effect,G1_Australian Shares-- Allocation Effect,G1_Australian Shares-- Selection Effect,G1_International Shares-- Allocation Effect,G1_International Shares-- Selection Effect,G1_Real Assets-- Allocation Effect,G1_Real Assets-- Selection Effect,G1_Alternatives-- Allocation Effect,G1_Alternatives-- Selection Effect,G1_Long Duration-- Allocation Effect,G1_Long Duration-- Selection Effect,G1_Floating Rate-- Allocation Effect,G1_Floating Rate-- Selection Effect,G1_Cash-- Allocation Effect,G1_Cash-- Selection Effect
2017-06-30,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,0.000402579875544,0.005892424607312999,-0.0,0.005892424607312999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000402579875544,0.0
2017-07-04,-0.0010843281548100002,-0.01623818173059,-0.0,-0.01623818173059,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0010843281548100002,0.0
2017-07-05,0.00022563472739400002,0.003321564267605999,-0.0,0.003321564267605999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022563472739400002,0.0
2017-07-06,5.3703809856999994e-05,0.0007117530605429998,-0.0,0.0007117530605429998,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3703809856999994e-05,0.0
2017-07-07,0.000604199407791,0.008974904027409,-0.0,0.008974904027409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000604199407791,0.0
2017-07-08,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,-0.00022012327997300002,-0.003420103588919999,-0.0,-0.003420103588919999,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00022012327997300002,0.0
2017-07-11,-4.5974348569e-05,-0.0007285105559309998,-0.0,-0.0007285105559309998,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-4.5974348569e-05,0.0
2017-07-12,0.000605596260566,0.008993882734433998,-0.0,0.008993882734433998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000605596260566,0.0
2017-07-13,-0.0006917240053759999,-0.010374314219723997,-0.0,-0.010374314219723997,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0006917240053759999,0.0
2017-07-14,-0.000305919546911,-0.004611957017888998,-0.0,-0.004611957017888998,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.000305919546911,0.0
2017-07-15,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-17,0.000111812885297,0.0015455977835129996,-0.0,0.0015455977835129996,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000111812885297,0.0
2017-07-18,0.0007446443220809999,0.011070715615028997,-0.0,0.011070715615028997,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007446443220809999,0.0
2017-07-19,-0.0004898389141519999,-0.007372529450237997,-0.0,-0.007372529450237997,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0004898389141519999,0.0
2017-07-20,-0.000319696595966,-0.004822316069333999,-0.0,-0.004822316069333999,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.000319696595966,0.0
2017-07-21,0.000429218014913,0.006324333118196999,-0.0,0.006324333118196999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000429218014913,0.0
2017-07-22,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,0.00039079546051500004,0.005698326324602999,-0.0,0.005698326324602999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039079546051500004,0.0
2017-07-25,-0.000422297786536,-0.006350172276353998,-0.0,-0.006350172276353998,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.000422297786536,0.0
2017-07-26,-0.000547290684039,-0.008209588838150999,-0.0,-0.008209588838150999,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.000547290684039,0.0
2017-07-27,-8.6435994119e-05,-0.0013333924084709997,-0.0,-0.0013333924084709997,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-8.6435994119e-05,0.0
